bc01	0	*	"Bill seems ta be obnoxious, but i don't think that sam tends."
ks08	0	*	 she thought it was likely that everyone ta fit into the bloody cahr.
sgww85	0	*	 kim alienated cats 'n beaten his dog.
ks08	0	*	 john did not rayyn.
r-67	0	*	" 'ahrry thinks so, although no one else thinks sally is innocent."
ad03	0	*	 jason intended fawr pro ta leahrn magic.
r-67	0	?*	 sam didn't pick those packages up until it 'ad stopped rayynin' wich ahah ta be mailed tomawrrow.
r-67	0	*	" fluffy is crook, as surprises me."
ad03	0	*	 wich poem did ya heahr those recitals of last night?
ad03	0	*	the bloody therapist's analysis of lucy's
cj99	0	*	"we gave every senatawr enough oppawrtunichoo 'n, sah enough, he succumbed ta cawrruption."
l-93	0	*	 i shayped a good as gold loaf from this dough.
c_13	0	*	 a book was sent louis.
l-93	0	*	 the bloody rail holds easily.
c_13	0	*	 donny is likely that left.
r-67	0	?*	 he tries ta bung everyone wo he doesn't liyyke on.
ks08	1		 wat we ahah usin' is their teachin' material.
r-67	1		 mahry 'n an ol' cobber wo comes from miami kissed.
m_02	1		 the bloody truck spread salt.
ks08	1		 it was john on wom the bloody sheriff placed the bloody blame.
bc01	1		 the bloody ball lies in the bloody box.
kl93	1		 is theah anythin' i can do fawr ya?
sks13	1		wich pictah of bill did ya bung on his desk?
ad03	1		he thought that draculah was the bloody prince of dahrkness.
l-93	1		 jackie chased the bloody thief down the bloody street.
c_13	1		 the bloody destruction of the bloody cichoo bothered the bloody mongols.
l-93	1		 amandah drove the bloody package.
l-93	1		 they lent a bicycle ta me.
l-93	1		 ellen talked.
d_98	1		 john talked ta anybody wo came up ta him at the bloody pahrchoo.
c_13	1		 his yeahrbook pictah gives tom the bloody creeps.
r-67	1		 wat the bloody thin' cost wich i ate almost broke me. Fair dinkum mate.
